formatName,Type,use,schema:encodingFormat,,mediaType,extension,source,AltIdentifierString,Notes,ECRRID-Original,formatId-DataOne,formatType,ECRR Format registry id
TURTLE,DATA,text/turtle,text/turtle,TRUE,text/turtle,ttl,DataOne; https://www.iana.org/assignments/media-types/text/turtle,,,,text/turtle,DATA,
Universal Radar Format,DATA,application/octet-stream;type=radar-UF,application/octet-stream;type=radar-UF,TRUE,application/octet-stream,,ECRR,UniversalRadarFormat,Universal Radar Format: ftp://ftp.sigmet.com/outgoing/manuals/program/cuf.pdf,application/octet-stream;type=radar-UF,,DATA,
USGS rdb text format,DATA,text/csv;type=USGS-rdb,text/csv;type=USGS-rdb,TRUE,text/csv,csv,ECRR,rdb,,text/csv;type=USGS-rdb,,DATA,
WADL,DATA,http://wadl.dev.java.net/2009/02,http://wadl.dev.java.net/2009/02,TRUE,application/xml,,ECRR,,,http://wadl.dev.java.net/2009/02,,,
"Water Markup Language, version 1.0",DATA,http://www.cuahsi.org/waterML/1.0/,http://www.cuahsi.org/waterML/1.0/,TRUE,application/xml,xml,DataOne,WaterML 1.0,,,http://www.cuahsi.org/waterML/1.0/,DATA,
"Water Markup Language, version 1.1",DATA,http://www.cuahsi.org/waterML/1.1/,http://www.cuahsi.org/waterML/1.1/,TRUE,application/xml,xml,DataOne; ECRR,WaterML 1.1,,http://www.cuahsi.org/waterML/1.1/,http://www.cuahsi.org/waterML/1.1/,DATA,
"Water Markup Language, version 2.0",DATA,http://www.opengis.net/waterml/2.0,http://www.opengis.net/waterml/2.0,TRUE,application/xml,,ECRR,WaterML 2.0,,http://www.opengis.net/waterml/2.0,,,
WaterML JSON,DATA,application/json;type=WaterML,application/json;type=WaterML,TRUE,application/json,,ECRR,,,application/json;type=WaterML,,,
Wave Audio Format,DATA,audio/x-wav,audio/x-wav,TRUE,audio/x-wav,wav,DataOne,,defined at https://developer.mozilla.org/en-US/docs/Web/HTTP/Basics_of_HTTP/MIME_types,,audio/x-wav,DATA,
Windows Media Audio File,DATA,audio/x-ms-wma,audio/x-ms-wma,TRUE,audio/x-ms-wma,wma,DataOne,,https://docs.microsoft.com/en-us/windows/win32/wmp/file-name-extensions,,audio/x-ms-wma,DATA,
