formatName,Type,use,schema:encodingFormat,,mediaType,extension,source,AltIdentifierString,Notes,ECRRID-Original,formatId-DataOne,formatType,ECRR Format registry id
JavaScript Object Notation (JSON) Linked Data file,DATA,application/json-ld,application/json-ld,TRUE,application/ld+json,json,DataOne; ECRR,,,application/ld+json,application/json-ld,DATA,
JavaScript Object Notation (JSON) sparql result format,DATA,application/json;type=sparql-results,application/sparql-results+json,FALSE,application/json,,ECRR,,,application/sparql-results+json,,DATA,
JPEG 2000,DATA,image/jp2,image/jp2,TRUE,image/jp2,jpg,DataOne; IANA,,,,image/jp2,DATA,
Jupyter Notebook,Code,application/x-ipynb+json,application/x-ipynb+json,TRUE,application/x-ipynb+json,ipynb,DataOne,,informal mime type; ,,application/x-ipynb+json,Code,
"Kernel Metadata and Electronic Resource Citations (ERCs), 2010.05.13",MetaData,text/plain;type=anvl/erc-v02,anvl/erc-v02,FALSE,text/anvl,anvl,DataOne,,,,anvl/erc-v02,MetaData,
LANDSAT 5 TM,DATA,application/octet-stream;type=landsat5,,FALSE,application/octet-stream,,ECRR,,,,,DATA,
Linked Earth Data Package (LiPD),Wrapper,application/zip;type=LiPD,application/zip;type=LiPD,TRUE,application/zip,zip,ECRR,http://linked.earth/ontology/core/1.2.0/index-en.html#Dataset,http://wiki.linked.earth/Linked_Paleo_Data#Structuring_data_:_the_LiPD_Way,application/zip;type=LiPD,,Wrapper,
MagIC data download format,DATA,text/plain;type=magic-tsv,text/plain;type=magic-tsv,TRUE,text/plain,,ECRR,MagIC-tsv-Multipart,,text/plain;type=magic-tsv,,DATA,
Markdown file,DATA,text/markdown,text/markdown,TRUE,text/markdown,md,DataOne; https://datatracker.ietf.org/doc/html/rfc7763,,,,text/markdown,DATA,
Mathematica Notebook,Code,application/mathematica,application/mathematica,TRUE,text/plain,nb,DataOne; https://www.iana.org/assignments/media-types/application/mathematica,application/vnd.wolfram.mathematica | application/vnd.wolfram.cdf.text,content in example notebooks is plain text; A general description of the format is available at http://www.wolfram.com/nb,,application/mathematica,Code,
Mathworks MATLAB version 4 binary file,DATA,application/octet-stream; type=MATLAB-v4,application/MATLAB-v4,FALSE,application/octet-stream,mat,DataOne,,,,application/MATLAB-v4,DATA,
Mathworks MATLAB version 6 (R8 or later) binary file,DATA,application/octet-stream; type=MATLAB-v6,application/MATLAB-v6,FALSE,application/octet-stream,mat,DataOne,,,,application/MATLAB-v6,DATA,
Mathworks MATLAB version 7 (R14 or later) binary file,DATA,application/octet-stream; type=MATLAB-v7,application/MATLAB-v7,FALSE,application/octet-stream,mat,DataOne,,,,application/MATLAB-v7,DATA,
Mathworks MATLAB version 7.3 (R2006b or later) binary file - HDF5 compatible,DATA,application/octet-stream; type=MATLAB-v7.3,application/MATLAB-v7.3,FALSE,application/octet-stream,mat,DataOne,,,,application/MATLAB-v7.3,DATA,
MATLAB programming language script,code,text/plain;type=matlab,application/MATLAB,FALSE,text/x-matlab,m,DataOne,,,,application/MATLAB,code,
McIDAS area file,DATA,application/octet-stream;type=McIDAS-area,application/octet-stream;type=McIDAS-area,TRUE,application/octet-stream,,ECRR,McIDASArea,"McIDAS area file, http://www.ssec.wisc.edu/mcidas/doc/misc_doc/area2.html",application/octet-stream;type=McIDAS-area,,DATA,
McIDAS grid file,DATA,application/octet-stream;type=McIDAS-grid,application/octet-stream;type=McIDAS-grid,TRUE,application/octet-stream,,ECRR,McIDASGrid,"McIDAS grid file:, {http://www.ssec.wisc.edu/mcidas/doc/prog_man/2006/formats-20.html#22077",application/octet-stream;type=McIDAS-grid,,DATA,
MERIS Binned Level-3,DATA,,,TRUE,,,ECRR,,,,,DATA,
MERMAID Extraction File,DATA,,,TRUE,,,ECRR,,,,,DATA,
Microsoft Access,DATA,application/octet-stream;type=microsoft.mdb,,FALSE,application/octet-stream,,ECRR,,,,,DATA,
Microsoft Audio Video Interleave (AVI) File,DATA,video/avi,video/avi,TRUE,video/avi,avi,DataOne; https://www.loc.gov/preservation/digital/formats/fdd/fdd000059.shtml,video/msvideo | video/x-msvideo | application/x-troff-msvideo | video/vnd.avi;codec=…,"Not IANA registered, this is originally a Microsoft Windows format. Interoperability depends on codec, see https://www.iana.org/assignments/wave-avi-codec-registry/wave-avi-codec-registry.xhtml",,video/avi,DATA,
Microsoft Excel file format,DATA,application/vnd.ms-excel,application/vnd.ms-excel,TRUE,application/vnd.ms-excel,xls,DataOne; IANA,,,application/vnd.ms-excel,application/vnd.ms-excel,DATA,
Microsoft Excel OpenXML,DATA,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,TRUE,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx,DataOne; IANA,,,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,DATA,
Microsoft Office Excel 2007 binary workbooks,DATA,application/vnd.ms-excel.sheet.macroenabled.12,application/vnd.ms-excel.sheet.binary.macroEnabled.12,FALSE,application/vnd.ms-excel.sheet.binary.macroEnabled.12,xls,DataOne; IANA,,,application/vnd.ms-excel.sheet.macroenabled.12,application/vnd.ms-excel.sheet.binary.macroEnabled.12,DATA,
Microsoft Office OpenXML Presentation,Document,application/vnd.openxmlformats-officedocument.presentationml.presentation,application/vnd.openxmlformats-officedocument.presentationml.presentation,TRUE,application/vnd.openxmlformats-officedocument.presentationml.presentation,pptx,DataOne,,,,application/vnd.openxmlformats-officedocument.presentationml.presentation,Document,
Microsoft Office Powerpoint,Document,application/vnd.ms-powerpoint,application/vnd.ms-powerpoint,TRUE,application/vnd.ms-powerpoint,ppt,DataOne,,,,application/vnd.ms-powerpoint,Document,
Microsoft Word file format,Document,application/msword,application/msword,TRUE,application/msword,doc,DataOne; IANA,,,application/msword,application/msword,DATA,
Microsoft Word OpenXML,Document,application/vnd.openxmlformats-officedocument.wordprocessingml.document,application/vnd.openxmlformats-officedocument.wordprocessingml.document,TRUE,application/vnd.openxmlformats-officedocument.wordprocessingml.document,docx,DataOne; ECRR; IANA,application/xml;type=MSWord,,application/vnd.openxmlformats-officedocument.wordprocessingml.document,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Document,
miniSEED seismic data format,DATA,application/octet-stream;type=vnd.fdsn.mseed,application/vnd.fdsn.mseed,FALSE,application/octet-stream,,ECRR,miniSEED,,application/vnd.fdsn.mseed,,DATA,
MODIS,DATA,,,TRUE,,,ECRR,,,,,DATA,
MPEG-1 or MPEG-2 Audio Layer III,DATA,audio/mpeg,audio/mpeg,TRUE,audio/mpeg,mp3,DataOne; IANA,,,,audio/mpeg,DATA,
MPEG-1 Video,DATA,video/mpeg,video/mpeg,TRUE,video/mpeg,mpg,DataOne; https://www.ietf.org/rfc/rfc2046.txt,,,,video/mpeg,DATA,
MPEG-4 Video,DATA,video/mp4,video/mp4,TRUE,video/mp4,mp4,DataOne; https://www.ietf.org/rfc/rfc4337.txt; https://www.loc.gov/preservation/digital/formats/fdd/fdd000155.shtml,video/mp4v-es | video/mpeg4-generic,,,video/mp4,DATA,
N3,DATA,text/n3,text/n3,TRUE,text/plain,rdf,DataOne; https://www.iana.org/assignments/media-types/text/n3,http://www.w3.org/TR/rdf-testcases/#ntriples ;  text/rdf+n3,,,text/n3,DATA,
NASA Ocean Color,DATA,,,TRUE,,,ECRR,,,,,DATA,
National Lightning Detection Network data,DATA,application/octet-stream;type=NLDN,application/octet-stream;type=NLDN,TRUE,application/octet-stream,,ECRR,NLDN,"National Lightning Detection Network, http://www.vaisala.com/weather/products/aboutnldn.html",application/octet-stream;type=NLDN,,DATA,
NetCDF classic file format,DATA,application/x-netcdf,application/x-netcdf,TRUE,application/x-netcdf,nc,ECRR,,"netCDF: NetCDF classic format, there isn't a netCDF v3.0 format… http://www.unidata.ucar.edu/software/netcdf/index.html",application/x-netcdf,,DATA,http://n2t.net/ark:/23942/g2705026
NetCDF Climate and Forecast Metadata Convention,DATA,application/x-netcdf;type=CF,application/x-netcdf;type=CF,TRUE,application/x-netcdf,nc,DataOne,,"no CF version, assume 1.0",,netCDF-CF,DATA,
"NetCDF Climate and Forecast Metadata Convention, version 1.0",DATA,application/x-netcdf;type=CF-1.0,application/x-netcdf;type=CF-1.0,TRUE,application/x-netcdf,nc,DataOne,,,,CF-1.0,DATA,
"NetCDF Climate and Forecast Metadata Convention, version 1.1",DATA,application/x-netcdf;type=CF-1.1,application/x-netcdf;type=CF-1.1,TRUE,application/x-netcdf,nc,DataOne,,,,CF-1.1,DATA,
"NetCDF Climate and Forecast Metadata Convention, version 1.2",DATA,application/x-netcdf;type=CF-1.2,application/x-netcdf;type=CF-1.2,TRUE,application/x-netcdf,nc,DataOne,,,,CF-1.2,DATA,
"NetCDF Climate and Forecast Metadata Convention, version 1.3",DATA,application/x-netcdf;type=CF-1.3,application/x-netcdf;type=CF-1.3,TRUE,application/x-netcdf,nc,DataOne,,,,CF-1.3,DATA,
"NetCDF Climate and Forecast Metadata Convention, version 1.4",DATA,application/x-netcdf;type=CF-1.4,application/x-netcdf;type=CF-1.4,TRUE,application/x-netcdf,nc,DataOne,,,,CF-1.4,DATA,
"NetCDF Climate and Forecast Metadata Convention, version 1.5",DATA,application/x-netcdf;type=CF-1.5,application/x-netcdf;type=CF-1.5,TRUE,application/x-netcdf,nc,DataOne,,,,CF-1.5,DATA,
"NetCDF Climate and Forecast Metadata Convention, version 1.6",DATA,application/x-netcdf;type=CF-1.6,application/x-netcdf;type=CF-1.6,TRUE,application/x-netcdf,nc,DataOne,,,,CF-1.6,DATA,
"NetCDF Climate and Forecast Metadata Convention, version 1.7",DATA,application/x-netcdf;type=CF-1.7,application/x-netcdf;type=CF-1.7,TRUE,application/x-netcdf,nc,DataOne,,,,CF-1.7,DATA,
netCDF-3 file format,DATA,application/x-netcdf,application/x-netcdf,TRUE,application/x-netcdf,nc,"ECRR, DataOne",,,application/x-netcdf,,DATA,
NetCDF-4 HDF5 format,DATA,application/x-netcdf4,application/x-netcdf4,TRUE,application/x-netcdf4,,"ECRR, DataOne",NetCDF v4.0,"netCDF-4: NetCDF-4 format on HDF-5, http://www.unidata.ucar.edu/software/netcdf/index.html",application/x-netcdf4,,DATA,http://n2t.net/ark:/23942/g2705027
"Network Common Data Format, version 3",DATA,application/x-netcdf,application/x-netcdf,TRUE,application/x-netcdf,nc,"ECRR, DataOne",,,,netCDF-3,DATA,
"Network Common Data Format, version 4",DATA,application/x-netcdf4,application/x-netcdf4,TRUE,application/x-netcdf4,nc,DataOne,NetCDF v4.0,,,netCDF-4,DATA,
NeXML 2009,DATA,http://www.nexml.org/2009,http://www.nexml.org/2009,TRUE,application/xml,xml,DataOne,,,,http://www.nexml.org/2009,DATA,
NEXRAD Level-II data,DATA,application/octet-stream;type=NEXRAD-II,application/octet-stream;type=NEXRAD-II,TRUE,application/octet-stream,,ECRR,NEXRAD-2,NEXRAD Level-II Base Data: http://www.ncdc.noaa.gov/oa/radar/radarresources.html,application/octet-stream;type=NEXRAD-II,,DATA,
NEXRAD Level-III data,DATA,application/octet-stream;type=NEXRAD-III,application/octet-stream;type=NEXRAD-III,TRUE,application/octet-stream,,ECRR,NEXRAD-3,"NEXRAD Level-III Products, http://www.ncdc.noaa.gov/oa/radar/radarresources.html",application/octet-stream;type=NEXRAD-III,,DATA,
NEXUS File Format for Systematic Information,DATA,text/plain;type=nexus1997,text/plain;type=nexus/1997,FALSE,text/plain,nxs,DataOne,nexus/1997,,,nexus/1997,DATA,
NOAA-AVHRR/3 Level-1b,DATA,,,TRUE,,,ECRR,,,,,DATA,
N-TRIPLE,DATA,text/n3,text/n3,TRUE,text/plain,nt,DataOne,http://www.w3.org/TR/rdf-testcases/#ntriples ;  text/rdf+n3,,,http://www.w3.org/TR/rdf-testcases/#ntriples,DATA,
Numpy,DATA,,,TRUE,,,ECRR,,NumPy Data Types,,,DATA,
ODIM HDF5,DATA,application/x-hdf5;type=odim,application/x-hdf5;type=odim,TRUE,,,https://www.eol.ucar.edu/content/standard-data-formats,,https://www.eol.ucar.edu/system/files/OPERA_2008_03_WP2.1b_ODIM_H5_v2.1.pdf weather radar data,,,,
OpenDAP v2 DataDDS response format,DATA,application/octet-stream;type=OpenDAPv2-DataDDS,application/octet-stream;type=OpenDAPv2-DataDDS,TRUE,application/octet-stream,,ECRR,DAP2,assume this means software gets data fromOpenDAP v2 dataDDS,application/octet-stream;type=OpenDAPv2-DataDDS,,DATA,
OpenDAP v4 Data response format,DATA,application/octet-stream;type=OpenDAPv4-data,application/octet-stream;type=OpenDAPv4-data,TRUE,application/octet-stream,,ECRR,DAP4,,application/octet-stream;type=OpenDAPv4-data,,DATA,
Plain Text,DATA,text/plain,text/plain,TRUE,text/plain,txt,DataOne; IANA,textfiles,iana registered,text/plain,text/plain,DATA,
plain text FORTRAN code,Code,text/plain; type=fortran,text/plain; type=fortran,TRUE,text/plain,,ECRR,text/x-fortran,not registered,text/plain; type=fortran,,Code,
plain text MGDS JGOFS format,DATA,text/plain;type=MGDS-JGOFS,text/plain;type=MGDS-JGOFS,TRUE,text/plain,,ECRR,,,text/plain;type=MGDS-JGOFS,,DATA,
plain text NF291 format,DATA,text/plain;type=NF291,text/plain;type=NF291,TRUE,text/plain,,ECRR,,,text/plain;type=NF291,,DATA,
plain text NMC Office Note 29 format,DATA,text/plain;type=NMCon29,text/plain;type=NMCon29,TRUE,text/plain,,ECRR,NMCon29,"NMC Office Note 29, http://www.emc.ncep.noaa.gov/mmb/data_processing/on29.htm",text/plain;type=NMCon29,,DATA,
plain text seismic handler Q file,DATA,text/plain;type=SeismicHandler-Qfile,text/plain;type=SeismicHandler-Qfile,TRUE,text/plain,,ECRR,,,text/plain;type=SeismicHandler-Qfile,,DATA,
Plain text table,DATA,text/plain; type=tabularData,text/plain;type=tabularData,FALSE,text/plain,,ECRR,,"delimiters, comment indicators, sentinel values, use of quotes not specified",text/plain; type=tabularData,,DATA,
"Portable Document Format (Adobe, pdf)",Document,application/pdf,application/pdf,TRUE,application/pdf,pdf,DataOne; IANA,,,application/pdf,application/pdf,Document,
Portable Network Graphics,DATA,image/png,image/png,TRUE,image/png,png,DataOne; IANA,,,image/png,image/png,DATA,
Postscript,Document,text/plain;type=postscript,application/postscript,FALSE,application/postscript,ps,DataOne,,,,application/postscript,Document,
pytables file format,DATA,application/x-hdf5;type=pytables,application/x-hdf5;type=pytables,TRUE,application/x-hdf5,,ECRR,,see http://www.pytables.org/usersguide/file_format.html,application/x-hdf5;type=pytables,,DATA,
Python programming language script,Code,application/x-python,application/x-python,TRUE,text/plain,py,DataOne,,,,application/x-python,Code,
QuakeML,DATA,http://quakeml.org/xmlns/quakeml,http://quakeml.org/xmlns/quakeml,TRUE,application/xml,,ECRR,QuakeML,,http://quakeml.org/xmlns/quakeml,,,
