directory, file,TestType, pass or expected fail,schemaPath,  search term, @id tool linkage, notes
Dataset/depth,0a1a9c6d-24f3-4156-865f-618f50f7e058_depth.jsonld,json schema,pass,../schemas/GeoCodes-DatasetSchema.json,,,depth - valid
Dataset/depth,0a3d1f18-2f69-4fae-bb1d-f2cca98c980a_depth.jsonld,json schema,pass,../schemas/GeoCodes-DatasetSchema.json,,,depth - NAN
Dataset/depth,0bae1308-d1f9-4c88-926b-50a16f1b7bde_depth.jsonld,json schema,pass,../schemas/GeoCodes-DatasetSchema.json,,,depth  min max 0
Dataset/depth,210efc7c-4762-47ee-b4b5-22a0f436ef44_depth.jsonld,,,,,,depth to 3000+ meters
Dataset/depth/obis/,b64d8b4f070d058d62fc06128238cf04aec700d6.jsonld,,,,,,full record: 0a1a9c6d-24f3-4156-865f-618f50f7e058_depth.jsonld
Dataset/depth/obis/,507906f11f39e0368ef80f874856f8cf867c4f27,,,,,,full record: 0a3d1f18-2f69-4fae-bb1d-f2cca98c980a
Dataset/depth/obis/,53125b1969fb23f82dcbba744eb5a8ea212e106c.jsonld,,,,,,full record: 0bae1308-d1f9-4c88-926b-50a16f1b7bde
Dataset/depth/obis/,2685d2b5edc2ae9c1ad6e539c3ff5cb794e43e46.jsonld,,,,,,full record: 210efc7c-4762-47ee-b4b5-22a0f436ef44
